"User Name","MAC Address","WLAN (SSID)","Passphrase","User Role","VLAN ID","Created Date","Expiration Date","Group DPSK"
"student_1","","DPSK (DPSK)","35877483","","","2021/06/21 07:33:07","Unlimited","Yes"
"student_0","","DPSK (DPSK)","54731447","","","2021/06/21 07:33:07","Unlimited","Yes"
"student_4","","DPSK (DPSK)","39877013","","","2021/06/21 05:07:07","Unlimited","Yes"
"student_3","","DPSK (DPSK)","52154971","","","2021/06/21 05:07:07","Unlimited","Yes"
"student_2","","DPSK (DPSK)","80844945","","","2021/06/21 05:07:07","Unlimited","Yes"
"student_1","","DPSK (DPSK)","17541739","","","2021/06/21 05:07:07","Unlimited","Yes"
"student_0","","DPSK (DPSK)","50003150","","","2021/06/21 05:07:07","Unlimited","Yes"
"raspberry_5","","Guest SSID (Guest SSID)","16330712","","","2021/04/16 21:42:04","Unlimited","No"
"raspberry_4","","Guest SSID (Guest SSID)","55666513","","","2021/04/16 21:42:04","Unlimited","No"
"raspberry_3","","Guest SSID (Guest SSID)","41317034","","","2021/04/16 21:42:04","Unlimited","No"
"raspberry_2","","Guest SSID (Guest SSID)","67352697","","","2021/04/16 21:42:04","Unlimited","No"
"raspberry_1","","Guest SSID (Guest SSID)","53341630","","","2021/04/16 21:42:04","Unlimited","No"
"raspberry_0","","Guest SSID (Guest SSID)","21364912","","","2021/04/16 21:42:04","Unlimited","No"
